size,runtime,iters,time variance,iters variance,num timeouts,semantics,start weights,strategy,graph,iterations per argument
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
100,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
130,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,10
10,0.0327231266249992,9.0,0.0462449619667776,12.6378117454837,7,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
20,0.6950725735000001,121.125,0.6012346697722301,104.85014817075162,7,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
30,1.5955475433999993,166.4,1.883582906231048,181.6309445001044,10,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
40,2.546916617333352,188.66666666666663,2.2102865644125957,163.3901261806641,12,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
50,5.915172520499993,288.5,5.326241181482626,253.23704310388715,11,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
60,13.728506418999928,480.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
80,0.0023763279999684,0.0,6.457299167727634e-06,0.0,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
100,10.540572724999947,100.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
130,55.88649010300105,369.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
140,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
150,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,100
10,0.0325033004999992,9.0,0.0459178643277534,12.6378117454837,7,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
20,0.6907040632499992,121.125,0.5976805045531413,104.85014817075162,7,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
30,1.589053941399999,166.4,1.878761944677744,181.6309445001044,10,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
40,2.530497757666685,188.66666666666663,2.19602732761317,163.3901261806641,12,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
50,5.899639380999986,288.5,5.32116499250053,253.23704310388715,11,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
60,13.68480063200002,480.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
70,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
80,0.0023849654999139,0.0,6.786103720092661e-06,0.0,13,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
90,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
100,10.506451577000009,100.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
110,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
120,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
130,55.50355752199903,369.0,0.0,0.0,14,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
140,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
150,0.0,0.0,0.0,0.0,15,mbs,default,pick_arg_most_to_least_pref,erdos0.5,100
10,0.0324971243750007,9.0,0.045907071751175,12.6378117454837,7,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
20,0.691264024625001,121.125,0.5983109909771801,104.85014817075162,7,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
30,1.594441683200003,166.4,1.8890719464449928,181.6309445001044,10,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
40,2.5319008026666743,188.66666666666663,2.197303434789024,163.3901261806641,12,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
50,5.911063457500006,288.5,5.3301664330397465,253.23704310388715,11,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
60,13.706144654000012,480.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
70,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
80,0.0023829145000036,0.0,2.460095199728183e-05,0.0,13,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
90,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
100,10.48262415299996,100.0,0.0,0.0,14,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
110,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
120,0.0,0.0,0.0,0.0,15,mbs,mbs,pick_arg_most_to_least_pref,erdos0.5,2000
